Cod Projeto;Descrição do Item;Disciplina;Hs Orçadas;Hs Programadas;Hs Ajustadas;Hs Executadas;Hs Saldo;Qtde Dias Total;Qtde Dias Percorridos;Saldo em Dias;% dias Percorridos
PCS_20_307;Configuração_Controle_STD;Controle/Supervisão;0;0;0;50;-50;393;393;0;100
PCS_20_307;Configuração_Proteção_SIP5;Estudo Seletividade;0;0;0;45;-45;697;633;64;90.82
PCS_20_307;Configuração_Proteção_SIP5;Proteção/Controle;0;0;0;52.57;-52.57;697;633;64;90.82
PCS_20_307;Configuração_Proteção_SIP5;Proteção/Controle;0;0;0;18;-18;697;633;64;90.82
PCS_20_307;Configuração_Proteção_SIP5;Proteção/Controle;420;360;420;154;266;697;633;64;90.82
PCS_20_307;Configuração_Proteção_SIP5;Trainee;0;0;0;38.83;-38.83;697;633;64;90.82
PCS_20_307;Documentação;;0;0;0;25.98;-25.98;710;645;65;90.85
PCS_20_307;Documentação;Controle/Supervisão;0;0;0;18;-18;710;645;65;90.85
PCS_20_307;Documentação;Desenhista;0;0;0;516.32;-516.32;710;645;65;90.85
PCS_20_307;Documentação;Estudo Seletividade;0;0;0;36;-36;710;645;65;90.85
PCS_20_307;Documentação;Projetista;959;959;959;972.06;-13.06;710;645;65;90.85
PCS_20_307;Documentação;Trainee;0;0;0;157.14;-157.14;710;645;65;90.85
PCS_20_307;Montagem_Campo;Técnico Eletricista;0;1620;0;443;1177;759;695;64;91.57
PCS_20_307;Outros;Coordenação;0;0;0;14;-14;1002;1002;0;100
PCS_20_307;Outros;Projetista;200;200;200;61.91;138.09;1002;1002;0;100
PCS_20_307;Outros;Proteção/Controle;0;0;0;24;-24;1002;1002;0;100
PCS_20_307;Outros;Técnico Eletricista;0;0;0;54;-54;1002;1002;0;100
PCS_20_307;Outros;Trainee;0;0;0;52.57;-52.57;1002;1002;0;100
PCS_20_307;PréTestes_Controle_SAGE;Controle/Supervisão;510;330;0;238.87;91.13;396;396;0;100
PCS_20_307;PréTestes_Proteção_SIP5;Estudo Seletividade;0;0;0;62;-62;518;518;0;100
PCS_20_307;PréTestes_Proteção_SIP5;Proteção/Controle;0;0;0;44;-44;518;518;0;100
PCS_20_307;PréTestes_Proteção_SIP5;Proteção/Controle;0;0;0;55.06;-55.06;518;518;0;100
PCS_20_307;PréTestes_Proteção_SIP5;Proteção/Controle;0;0;0;43;-43;518;518;0;100
PCS_20_307;PréTestes_Proteção_SIP5;Proteção/Controle;561;545;0;254;291;518;518;0;100
PCS_20_307;PréTestes_Proteção_SIP5;Trainee;0;0;0;84.12;-84.12;518;518;0;100
PCS_20_307;TAC_Controle_SAGE;;0;0;0;390.67;-390.67;332;268;64;80.72
PCS_20_307;TAC_Controle_SAGE;Controle/Supervisão;1000;1440;0;590.84;849.16;332;268;64;80.72
PCS_20_307;TAC_Proteção_SIP5;Proteção/Controle;0;0;0;168.24;-168.24;332;268;64;80.72
PCS_20_307;TAC_Proteção_SIP5;Proteção/Controle;1038;1575;0;572.14;1002.86;332;268;64;80.72
PCS_20_307;TAF_Controle_SAGE;;0;0;0;9;-9;425;425;0;100
PCS_20_307;TAF_Controle_SAGE;Controle/Supervisão;510;455;750;384;366;425;425;0;100
PCS_20_307;TAF_Controle_SAGE;Controle/Supervisão;0;0;0;123;-123;425;425;0;100
PCS_20_307;TAF_Proteção_SIP5;Estudo Seletividade;0;0;0;167;-167;547;547;0;100
PCS_20_307;TAF_Proteção_SIP5;Proteção/Controle;0;0;0;9;-9;547;547;0;100
PCS_20_307;TAF_Proteção_SIP5;Proteção/Controle;0;0;0;26.97;-26.97;547;547;0;100
PCS_20_307;TAF_Proteção_SIP5;Proteção/Controle;587;630;0;285;345;547;547;0;100
PCS_20_307;TAF_Proteção_SIP5;Trainee;0;0;0;141.24;-141.24;547;547;0;100
PCS_20_324 - SIEMENS;Documentação;;0;0;0;4.88;-4.88;305;240;65;78.69
PCS_20_324 - SIEMENS;Documentação;Projetista;105.6;105.6;0;29.33;76.27;305;240;65;78.69
PCS_20_324 - SIEMENS;Montagem_Painéis;Técnico Eletricista;2534.4;2534.4;0;0;2534.4;305;240;65;78.69
PCS_20_324 - SIEMENS;Montagem_Plataforma;Eletricista;211.2;211.2;0;0;211.2;305;240;65;78.69
PCS_20_324 - SIEMENS;PréTestes_Proteção_SIP5;Eletricista;211.2;211.2;0;0;211.2;305;240;65;78.69
PCS_20_324 - SIEMENS;TAF_Proteção_SIP5;Eletricista;211.2;211.2;0;0;211.2;305;240;65;78.69
;;;;;;;;;;;
Totais  ;;;19097.6;25720.6;6435;14110.91;12908.69; ; ; ; 
